date,HB
4/16/20,80
4/17/20,110
4/18/20,80
4/19/20,135
4/20/20,310
4/21/20,281
4/22/20,108
4/23/20,67
4/24/20,54
4/25/20,37
4/26/20,64
4/27/20,60
4/28/20,68
4/29/20,36
4/30/20,51
5/1/20,34
5/2/20,22
5/3/20,38
5/4/20,41
5/5/20,38
5/6/20,44
5/7/20,47
5/8/20,52
5/9/20,23
5/10/20,104
5/11/20,60
5/12/20,82
5/13/20,64
5/14/20,55
5/15/20,52
5/16/20,52
5/17/20,61
5/18/20,65
5/19/20,64
5/20/20,46
5/21/20,40
5/22/20,50
5/23/20,37
5/24/20,46
5/25/20,67
5/26/20,65
5/27/20,65
5/28/20,87
5/29/20,42
5/30/20,61
5/31/20,45
6/1/20,51
6/2/20,49
6/3/20,66
6/4/20,52
6/5/20,42
6/6/20,55
6/7/20,99
6/8/20,75
6/9/20,81
6/10/20,93
6/11/20,77
6/12/20,71
6/13/20,61
6/14/20,121
6/15/20,121
6/16/20,151
6/17/20,129
6/18/20,121
6/19/20,114
6/20/20,101
6/21/20,131
6/22/20,148
6/23/20,148
6/24/20,145
6/25/20,158
6/26/20,145
6/27/20,176
6/28/20,259
6/29/20,268
6/30/20,242
7/1/20,281
7/2/20,374
7/3/20,219
7/4/20,309
7/5/20,569
7/6/20,629
7/7/20,592
7/8/20,509
7/9/20,496
7/10/20,378
7/11/20,383
7/12/20,702
7/13/20,598
7/14/20,487
7/15/20,430
7/16/20,447
7/17/20,345
7/18/20,338
7/19/20,552
7/20/20,430
7/21/20,404
7/22/20,372
7/23/20,335
7/24/20,247
7/25/20,225
7/26/20,423
7/27/20,362
7/28/20,301
7/29/20,314
7/30/20,279
7/31/20,145
8/1/20,255
