date,Census
3/6/20,1
3/7/20,1
3/8/20,1
3/9/20,1
3/10/20,1
3/11/20,1
3/12/20,1
3/13/20,1
3/14/20,1
3/15/20,2
3/16/20,2
3/17/20,1
3/18/20,2
3/19/20,3
3/20/20,8
3/21/20,9
3/22/20,9
3/23/20,10
3/24/20,19
3/25/20,21
3/26/20,26
3/27/20,38
3/28/20,43
3/29/20,50
3/30/20,51
3/31/20,54
4/1/20,63
4/2/20,62
4/3/20,73
4/4/20,76
4/5/20,78
4/6/20,88
4/7/20,90
4/8/20,86
4/9/20,87
4/10/20,81
4/11/20,76
4/12/20,102
4/13/20,79
4/14/20,80
4/15/20,81
4/16/20,97
4/17/20,95
4/18/20,89
4/19/20,94
4/20/20,89
4/21/20,106
4/22/20,102
4/23/20,103
4/24/20,104
4/25/20,109
4/26/20,103
4/27/20,101
4/28/20,99
4/29/20,103
4/30/20,91
5/1/20,79
5/2/20,83
5/3/20,78
5/4/20,78
5/5/20,82
5/6/20,83
5/7/20,74
5/8/20,59
5/9/20,58
5/10/20,56
5/11/20,55
5/12/20,57
5/13/20,48
5/14/20,43
5/15/20,42
5/16/20,45
5/17/20,49
5/18/20,54
5/19/20,60
5/20/20,62
5/21/20,59
5/22/20,61
5/23/20,70
5/24/20,77
5/25/20,84
5/26/20,84
5/27/20,79
5/28/20,86
5/29/20,81
5/30/20,79
5/31/20,85
6/1/20,90
6/2/20,85
6/3/20,78
6/4/20,84
6/5/20,88
6/6/20,94
6/7/20,101
6/8/20,92
6/9/20,89
6/10/20,99
6/11/20,107
6/12/20,113
6/13/20,121
6/14/20,126
6/15/20,118
6/16/20,118
6/17/20,115
6/18/20,122
6/19/20,135
6/20/20,130
6/21/20,135
6/22/20,146
6/23/20,149
6/24/20,146
6/25/20,153
6/26/20,145
6/27/20,156
6/28/20,152
6/29/20,157
6/30/20,155
7/1/20,177
7/2/20,178
7/3/20,188
7/4/20,201
7/5/20,187
7/6/20,182
7/7/20,177
7/8/20,203
7/9/20,235
7/10/20,219
7/11/20,207
7/12/20,207
7/13/20,204
7/14/20,206
7/15/20,216
7/16/20,227
7/17/20,217
7/18/20,220
7/19/20,221
7/20/20,226
7/21/20,216
7/22/20,216
7/23/20,218
7/24/20,224
7/25/20,240
7/26/20,244
7/27/20,239
7/28/20,254
7/29/20,236
7/30/20,225
7/31/20,225
8/1/20,219
